Wall time,Step,Value
1645064181.454838,0,1.0
1645064285.496042,1,0.9482831954956055
1645064385.09818,2,0.8934736847877502
1645064469.755362,3,0.9095456600189209
1645064544.469133,4,0.9204064607620239
1645064613.56224,5,0.9316381812095642
1645064680.887913,6,0.9305555820465088
1645064746.641921,7,0.9284201860427856
1645064805.253177,8,0.9227848052978516
1645064860.638018,9,0.9261773228645325
1645064917.607856,10,0.9300758242607117
1645064975.782496,11,0.9326882362365723
1645065032.6674597,12,0.9357293844223022
1645065093.952621,13,0.9370805621147156
1645065159.738578,14,0.9315476417541504
1645065219.547634,15,0.9275240898132324
1645065286.554208,16,0.9390650987625122
1645065350.107079,17,0.9359999895095825
1645065407.397925,18,0.9428083896636963
1645065461.185838,19,0.9401853680610657
1645065515.419206,20,0.9447236061096191
1645065596.371169,21,0.9451939463615417
1645065663.182307,22,0.9444907903671265
1645065723.075844,23,0.942470371723175
1645065779.602284,24,0.9461636543273926
1645065835.511114,25,0.9382352828979492
1645065893.351077,26,0.9450228810310364
1645065950.2160552,27,0.9428331255912781
1645066004.611457,28,0.9489235877990723
1645066057.377682,29,0.9493511915206909
