Wall time,Step,Value
1645046181.75015,0,0.9978804588317871
1645046287.70747,1,0.9024597406387329
1645046382.425539,2,0.8882303237915039
1645046469.003852,3,0.9009274840354919
1645046553.843489,4,0.9050819277763367
1645046641.9716392,5,0.9163851141929626
1645046725.379882,6,0.917894721031189
1645046800.252324,7,0.9203170537948608
1645046871.362918,8,0.9203020334243774
1645046938.327152,9,0.9246401190757751
1645047001.589207,10,0.9244889616966248
1645047058.560107,11,0.927334189414978
1645047116.8793821,12,0.9305555820465088
1645047175.039547,13,0.9337273240089417
1645047229.217016,14,0.9322245121002197
1645047285.530534,15,0.9349457621574402
1645047343.024597,16,0.9343710541725159
1645047398.448179,17,0.9308578968048096
1645047451.189524,18,0.9362950325012207
1645047515.504761,19,0.9280605912208557
1645047582.018246,20,0.9361881017684937
1645047639.818294,21,0.9328295588493347
1645047694.7689133,22,0.9445145130157471
1645047752.348037,23,0.9384871125221252
1645047809.019476,24,0.9436619877815247
1645047867.518425,25,0.9395093321800232
1645047923.008151,26,0.9479866027832031
1645047980.423049,27,0.9443979859352112
1645048035.904691,28,0.9402795433998108
1645048089.733544,29,0.9475908875465393
