Wall time,Step,Value
1645134974.199039,0,0.868042528629303
1645135040.381973,1,0.9552845358848572
1645135095.468762,2,0.9615625143051147
1645135144.800473,3,0.964665412902832
1645135191.684439,4,0.9756097793579102
1645135237.730724,5,0.9781113266944885
1645135283.710769,6,0.9765625
1645135329.522436,7,0.9824890494346619
1645135374.715199,8,0.9834374785423279
1645135420.578123,9,0.9809255599975586
1645135480.499689,10,0.9831144213676453
1645135537.455316,11,0.9840624928474426
1645135587.354147,12,0.9846875071525574
1645135635.464198,13,0.9937461018562317
1645135683.338922,14,0.9959349632263184
1645135730.767517,15,0.99343341588974
1645135777.733679,16,0.9978111386299133
1645135824.410874,17,0.9903064370155334
1645135874.249409,18,0.9934375286102295
1645135930.793063,19,0.9809255599975586
1645135979.370619,20,0.9928079843521118
1645136026.635864,21,0.9934375286102295
1645136071.863945,22,0.9962499737739563
1645136117.24562,23,0.9987499713897705
1645136163.207416,24,0.9965624809265137
1645136209.034788,25,0.9996873140335083
1645136254.740045,26,1.0
1645136301.229583,27,1.0
1645136348.537977,28,1.0
1645136394.960261,29,1.0
