Wall time,Step,Value
1645082175.536615,0,0.99839186668396
1645082327.629752,1,0.9619405269622803
1645082444.509697,2,0.912623941898346
1645082578.333745,3,0.9029750823974609
1645082707.927618,4,0.899222731590271
1645082826.406504,5,0.904315173625946
1645082957.630175,6,0.9056553244590759
1645083080.038924,7,0.9096757173538208
1645083226.241844,8,0.9161083102226257
1645083338.912728,9,0.910747766494751
1645083420.216573,10,0.9249531030654907
1645083502.0824552,11,0.9329938292503357
1645083590.283315,12,0.9319217205047607
1645083678.869824,13,0.9335299134254456
1645083762.176721,14,0.9380863308906555
1645083843.464147,15,0.9321897625923157
1645083925.407774,16,0.9340659379959106
1645084011.496877,17,0.9394264221191406
1645084093.709977,18,0.9367461800575256
1645084176.037107,19,0.9426427483558655
1645084266.980446,20,0.9413025975227356
1645084348.478303,21,0.9437147974967957
1645084430.284172,22,0.9469311237335205
1645084513.446353,23,0.9490753412246704
1645084599.088121,24,0.9490753412246704
1645084679.963856,25,0.9469311237335205
1645084762.217651,26,0.9520235657691956
1645084861.841867,27,0.9506834745407104
1645084956.481742,28,0.9488072991371155
1645085046.577236,29,0.9482712149620056
1645085133.660618,30,0.9525596499443054
1645085221.004304,31,0.9514875411987305
1645085302.319614,32,0.9549718499183655
1645085386.292264,33,0.9514875411987305
1645085468.576913,34,0.9549718499183655
1645085554.036208,35,0.9563120007514954
1645085639.427328,36,0.9557759165763855
1645085724.9931,37,0.9533637166023254
1645085810.887423,38,0.9533637166023254
1645085892.81323,39,0.9568480253219604
1645085975.122403,40,0.9597963094711304
1645086064.101422,41,0.9603323340415955
1645086147.415329,42,0.9646207690238953
1645086228.776149,43,0.9584561586380005
1645086309.875731,44,0.9600643515586853
1645086391.563872,45,0.9630125761032104
1645086473.644262,46,0.9648887515068054
1645086556.215692,47,0.9624765515327454
1645086637.840241,48,0.9646207690238953
1645086721.118231,49,0.9619405269622803
1645086802.030492,50,0.9651567935943604
1645086884.819312,51,0.9627445936203003
1645086969.2066607,52,0.9651567935943604
1645087051.98237,53,0.9630125761032104
1645087206.597375,54,0.9640846848487854
1645087299.244763,55,0.9702492356300354
1645087380.688923,56,0.9643527269363403
1645087462.5547173,57,0.9683731198310852
1645087545.194995,58,0.9635486602783203
1645087688.634457,59,0.9648887515068054
1645087769.79646,60,0.9686411023139954
1645087851.421397,61,0.9664969444274902
1645087932.726422,62,0.9694451689720154
1645088014.601392,63,0.9664969444274902
1645088099.143244,64,0.9699812531471252
1645088188.244842,65,0.9683731198310852
1645088269.557176,66,0.9656928181648254
1645088352.222317,67,0.9664969444274902
1645088441.760121,68,0.9681050777435303
1645088524.808056,69,0.9686411023139954
1645088607.947968,70,0.9670329689979553
1645088695.906987,71,0.9675689935684204
1645088784.375917,72,0.9678370356559753
1645088867.536279,73,0.9705172777175903
1645088954.081685,74,0.9721254110336304
1645089043.683942,75,0.9713213443756104
1645089179.763216,76,0.9678370356559753
1645089264.829229,77,0.9710533618927002
1645089357.524483,78,0.9710533618927002
1645089444.48651,79,0.9710533618927002
1645089530.871172,80,0.9713213443756104
1645089619.328438,81,0.9675689935684204
1645089706.305379,82,0.9710533618927002
1645089787.849393,83,0.9745376706123352
1645089869.241868,84,0.9721254110336304
1645089952.805299,85,0.9694451689720154
1645090036.278896,86,0.9662289023399353
1645090118.709618,87,0.9705172777175903
1645090200.073489,88,0.9731975197792053
1645090282.064792,89,0.9753417372703552
1645090364.268313,90,0.9713213443756104
1645090445.331425,91,0.9734655618667603
1645090531.252283,92,0.9699812531471252
1645090616.429711,93,0.9670329689979553
1645090697.4120667,94,0.9707853198051453
1645090778.95248,95,0.9705172777175903
1645090860.057173,96,0.9729295372962952
1645090941.682206,97,0.9705172777175903
1645091023.280944,98,0.9737336039543152
