Wall time,Step,Value
1645064181.454142,0,0.738899290561676
1645064285.495656,1,0.7617260813713074
1645064385.097387,2,0.7826766967773438
1645064469.754616,3,0.8083177208900452
1645064544.46859,4,0.8393750190734863
1645064613.561928,5,0.8737499713897705
1645064680.887078,6,0.8812500238418579
1645064746.64163,7,0.8836773037910461
1645064805.252658,8,0.870856761932373
1645064860.637241,9,0.8824265003204346
1645064917.607568,10,0.8880550265312195
1645064975.781771,11,0.897748589515686
1645065032.666537,12,0.9002501368522644
1645065093.951892,13,0.9028124809265137
1645065159.738309,14,0.9008755683898926
1645065219.547344,15,0.8924327492713928
1645065286.553584,16,0.9036898016929626
1645065350.106517,17,0.9055659770965576
1645065407.39739,18,0.9115625023841858
1645065461.185061,19,0.909943699836731
1645065515.418906,20,0.9162499904632568
1645065596.37005,21,0.9206249713897705
1645065663.181304,22,0.9215134382247925
1645065723.07498,23,0.9137499928474426
1645065779.601398,24,0.9249531030654907
1645065835.510843,25,0.9093183279037476
1645065893.350303,26,0.9278125166893005
1645065950.2152667,27,0.9256250262260437
1645066004.61105,28,0.9212007522583008
1645066057.377258,29,0.9290624856948853
