Wall time,Step,Value
1645134974.199569,0,0.9501267671585083
1645135040.382388,1,0.9701237678527832
1645135095.469514,2,0.9762409925460815
1645135144.801291,3,0.976401150226593
1645135191.685449,4,0.9828595519065857
1645135237.731527,5,0.9857262969017029
1645135283.711045,6,0.983668327331543
1645135329.522751,7,0.9869528412818909
1645135374.716223,8,0.9882402420043945
1645135420.578815,9,0.9878202676773071
1645135480.500134,10,0.9881756901741028
1645135537.456134,11,0.9888613820075989
1645135587.354697,12,0.9903765916824341
1645135635.465086,13,0.9966344237327576
1645135683.339711,14,0.9974640607833862
1645135730.768037,15,0.9953722953796387
1645135777.734818,16,0.9978885054588318
1645135824.411647,17,0.9949131011962891
1645135874.250057,18,0.9945194125175476
1645135930.793407,19,0.9869308471679688
1645135979.370917,20,0.9950000047683716
1645136026.63616,21,0.996221661567688
1645136071.864946,22,0.9970954060554504
1645136117.245952,23,0.999162495136261
1645136163.208006,24,0.9974715709686279
1645136209.035859,25,0.9995762705802917
1645136254.740836,26,1.0
1645136301.229867,27,1.0
1645136348.538404,28,1.0
1645136394.960977,29,1.0
